param1,param3,param11,param12,param13,param14,param15,param16,param17,param18,param21,external_id
145148106,1550,9450,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145148106
145149854,4166,834,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145149854
145150070,1909,3091,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145150070
145150267,2971,2029,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145150267
145150550,1966,27034,29000.00,543.27,84,13.45,15.60,51.28,46145.08,594.55,145150550
145150933,2197,2803,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145150933
145151450,1030,6970,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145151450
145151662,1868,16132,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,145151662
145151751,5617,44383,50000.00,936.67,84,13.45,15.60,88.41,79560.28,1025.08,145151751
145156087,1219,6781,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145156087
145156400,1794,3206,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145156400
145158586,1859,21141,23000.00,430.87,84,13.45,15.60,40.67,36597.88,471.54,145158586
145162486,1504,20496,22000.00,412.14,84,13.45,15.60,38.90,35006.96,451.04,145162486
145162850,1846,8154,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145162850
145164918,1379,27621,29000.00,543.27,84,13.45,15.60,51.28,46145.08,594.55,145164918
145165523,1153,9847,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145165523
145167992,3644,1356,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145167992
145168573,3712,1288,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145168573
145173429,2855,2145,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145173429
145173445,1910,16090,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,145173445
145173526,1566,5434,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,145173526
145173836,4355,645,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145173836
145174344,2227,2773,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145174344
145176371,1065,4935,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145176371
145177041,1686,22314,24000.00,449.61,84,13.45,15.60,42.44,38189.64,492.05,145177041
145177416,1811,4189,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145177416
145179583,2927,2073,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145179583
145179842,3100,1900,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145179842
145181340,1825,6175,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145181340
145185192,1761,11239,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145185192
145185370,3461,1539,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145185370
145188299,1810,4190,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145188299
145189244,1215,18785,20000.00,374.67,84,13.45,15.60,35.37,31824.28,410.04,145189244
145190374,1322,19678,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,145190374
145191672,3537,31463,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145191672
145192571,1257,4743,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145192571
145195538,1412,13588,15000.00,281.01,84,13.45,15.60,26.52,23868.84,307.53,145195538
145199657,1113,3887,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145199657
145199932,1634,8366,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145199932
145203182,2189,2811,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145203182
145203816,3985,1015,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145203816
145205231,3838,1162,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145205231
145208427,2367,2633,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145208427
145209792,1408,6592,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145209792
145210600,2917,2083,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145210600
145211231,1470,13530,15000.00,281.01,84,13.45,15.60,26.52,23868.84,307.53,145211231
145212106,1376,26624,28000.00,524.54,84,13.45,15.60,49.51,44554.16,574.05,145212106
145216063,1771,8229,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145216063
145216454,1839,5161,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,145216454
145218325,1449,14551,16000.00,299.74,84,13.45,15.60,28.29,25459.76,328.03,145218325
145218414,3792,1208,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145218414
145218473,1375,33625,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145218473
145219313,1614,9386,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145219313
145219518,1221,8779,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145219518
145221709,1368,10632,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,145221709
145222560,4272,40728,45000.00,843.01,84,13.45,15.60,79.57,71604.84,922.58,145222560
145226450,1952,20048,22000.00,412.14,84,13.45,15.60,38.90,35006.96,451.04,145226450
145230520,1935,6065,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145230520
145230554,1374,4626,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145230554
145230627,2403,2597,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145230627
145232557,1472,17528,19000.00,355.94,84,13.45,15.60,33.60,30233.36,389.54,145232557
145233090,1420,3580,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145233090
145234878,1799,6201,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145234878
145236269,4115,885,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145236269
145236617,5470,29530,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145236617
145236684,1332,15668,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145236684
145240568,3700,1300,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145240568
145240720,1122,3878,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145240720
145240770,1079,7921,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145240770
145242897,2589,2411,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145242897
145243613,1547,10453,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,145243613
145244466,1544,7456,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145244466
145245640,1415,6585,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145245640
145248828,1483,15517,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145248828
145253368,1956,17044,19000.00,355.94,84,13.45,15.60,33.60,30233.36,389.54,145253368
145253945,1835,13165,15000.00,281.01,84,13.45,15.60,26.52,23868.84,307.53,145253945
145255069,1115,19885,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,145255069
145256448,2846,2154,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145256448
145258602,1523,15477,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145258602
145258769,1624,12376,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,145258769
145259510,1477,14523,16000.00,299.74,84,13.45,15.60,28.29,25459.76,328.03,145259510
145263916,1706,8294,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145263916
145263932,2554,47446,50000.00,936.67,84,13.45,15.60,88.41,79560.28,1025.08,145263932
145264424,1389,4611,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145264424
145266354,1231,23769,25000.00,468.34,84,13.45,15.60,44.21,39780.56,512.55,145266354
145268560,1953,3047,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145268560
145270874,1942,14058,16000.00,299.74,84,13.45,15.60,28.29,25459.76,328.03,145270874
145271366,1857,6143,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145271366
145273814,1574,3426,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145273814
145275396,1872,4128,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145275396
145276120,2743,2257,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145276120
145277747,2294,2706,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145277747
145280284,1114,3886,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145280284
145280829,2374,42626,45000.00,843.01,84,13.45,15.60,79.57,71604.84,922.58,145280829
145281280,2315,2685,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145281280
145281450,2549,2451,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145281450
145285235,1523,4477,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145285235
145288064,1406,6594,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145288064
145292428,1908,3092,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145292428
