IdCampanha,iTipoCampanha,Envios,DataInicio
3750,iXS_RUC_NPA_2T,147,20250701
3751,iXS_PCDPM_2T,5000,20250708
3766,iXS_PCD_NPA_CPay,18389,20250709
3767,iXS_RUC_NPA_CPay,25675,20250709
3768,iXS_RUC_1T,9922,20250710
3769,iXS_RUC_2T,4996,20250710
3771,iXS_Terminados_NPA_1T,66663,20250714
3772,iXS_Terminados_NPA_2T,28640,20250714
3773,iXS_CCR_SMSA,1036,20250714
3774,iXS_CCR_SMSB,4000,20250714
3775,iXS_CCR_SMSC,4839,20250714
3776,iXS_CCR_SMSD,2106,20250714
3788,iXS_PCDPMHabit,3939,20250715
3789,iXS_PCD_Auto,795,20250715
3790,iXS_PCD_Auto,1440,20250715
3791,iXS_PCD_Inativos_1T,3988,20250716
3792,iXS_PMS,3719,20250716
3793,iXS_PMS,3653,20250716
3794,iXS_PMS,985,20250716
3797,iXS_PCDPMTOP,5004,20250717
3799,iXS_PCDPM_Parcerias,4924,20250721
3800,iXS_RUC_PlafondMinimo,1665,20250722
3801,iXS_PCDPM_1T,967,20250722
3807,iXS_PCDPM_1T,2565,20250805
3813,iXS_PCD_NPA_1T,5839,20250804
3814,iXS_PCD_NPA_2T,501,20250804
3815,iXS_RUC_NPA_1T,334,20250804
3816,iXS_RUC_NPA_2T,66,20250804
3818,iXS_PCDPM_2T,4954,20250806
3821,iXS_PCD_NPA_CPay,6909,20250807
3822,iXS_RUC_NPA_CPay,705,20250807
3823,iXS_Terminados_NPA_1T,101437,20250811
3824,iXS_Terminados_NPA_2T,18743,20250811
3827,iXS_PCD_Auto,889,20250812
3828,iXS_PCD_Auto,1047,20250812
3829,iXS_PMS,2780,20250814
3830,iXS_PMS,1314,20250814
3831,iXS_CCR_SMSA,839,20250818
3832,iXS_CCR_SMSB,4000,20250818
3834,iXS_CCR_SMSD,45,20250818
3835,iXS_CCR_SMSC,998,20250818
3836,iXS_PMS,209,20250818
3840,iXS_RUC_1T,1477,20250819
3841,iXS_RUC_2T,4897,20250819
3842,iXS_RUC_PlafondMinimo,539,20250819
3847,iXS_PCDPM_Parcerias,5676,20250820
3848,iXS_PCD_Inativos_1T,4999,20250820
3849,iXS_PCDPMTOP,3787,20250821
3851,iXS_PCDPMHabit,3406,20250826
3869,iXS_PCD_NPA_1T,8827,20250903
3870,iXS_PCD_NPA_2T,1394,20250903
3871,iXS_RUC_NPA_1T,651,20250903
3872,iXS_RUC_NPA_2T,97,20250903
3873,iXS_PCDPM_1T,5000,20250904
3874,iXS_PCDPMTOP,15259,20250909
3878,iXS_RUC_2T,4999,20250910
3883,iXS_PCD_NPA_CPay,11999,20250911
